Make,Model,trim,mileage,reg_year,transmission_type,fuel_type,price
Ford,Kuga,2.5 PHEV ST-Line X Edition 5dr CVT,11615,2022,Automatic,Plug-in Hybrid,"33,995"
Vauxhall,Corsa,100kW SRi Nav Premium 50kWh 5dr Auto [7.4kWCh],7000,2021,Automatic,Electric,"16,995"
Volkswagen,Golf,1.4 TSI SE [Nav] 5dr DSG,17485,2018,Semiauto,Petrol,"15,995"
Vauxhall,Crossland,X 1.2T [130] Elite Nav 5dr [Start Stop],17800,2020,Manual,Petrol,"14,995"
Vauxhall,Astra,1.4T 16V 150 SRi Nav 5dr,15000,2019,Manual,Petrol,"14,995"
Kia,Niro,1.6 GDi Hybrid 3 5dr DCT,68000,2017,Automatic,Hybrid,"14,995"
Kia,Sportage,1.7 CRDi ISG 4 5dr,38800,2016,Manual,Diesel,"14,995"
Vauxhall,Corsa,1.2 Turbo GS Line 5dr,5600,2022,Manual,Petrol,"15,995"
Vauxhall,Grandland,X 1.2 Turbo Sport Nav 5dr,20000,2019,Manual,Petrol,"16,995"
Vauxhall,Astra,1.5 Turbo D Business Edition 5dr,41000,2022,Manual,Diesel,"17,995"
Hyundai,i20,1.0T GDi 48V MHD Premium 5dr DCT,16000,2021,Semiauto,Mild Hybrid,"18,695"
Vauxhall,Mokka,100kW Elite Premium 50kWh 5dr Auto,3000,2022,Automatic,Electric,"18,995"
Vauxhall,Insignia,1.5 Turbo D Ultimate Nav 5dr,17000,2021,Manual,Diesel,"18,995"
Vauxhall,Mokka,100kW SRi Premium 50kWh 5dr Auto,9000,2022,Automatic,Electric,"19,495"
Vauxhall,Grandland,1.5 Turbo D SRi 5dr Auto,12500,2022,Automatic,Diesel,"23,995"
Vauxhall,Grandland,1.6 Hybrid Elite 5dr Auto,8900,2022,Automatic,Hybrid,"27,995"
Vauxhall,Vivaro,Life 100kW Elite L 50kWh 5dr Auto,2800,2020,Automatic,Electric,"27,995"
Vauxhall,Corsa,100kW SRi Nav Premium 50kWh 5dr Auto [7.4kWCh],13416,2021,Automatic,Electric,"16,995"
Volkswagen,Tiguan,2.0 TSi 190 4Motion SEL 5dr DSG,35594,2019,Semiauto,Petrol,"24,995"
Vauxhall,Corsa,100kW SE Nav Premium 50kWh 5dr Auto [7.4kWCh],24000,2021,Automatic,Electric,"15,495"
Ford,Kuga,2.5 PHEV ST-Line X Edition 5dr CVT,11615,2022,Automatic,Plug-in Hybrid,"33,995"
Vauxhall,Corsa,100kW SRi Nav Premium 50kWh 5dr Auto [7.4kWCh],7000,2021,Automatic,Electric,"16,995"
Volkswagen,Golf,1.4 TSI SE [Nav] 5dr DSG,17485,2018,Semiauto,Petrol,"15,995"
Vauxhall,Crossland,X 1.2T [130] Elite Nav 5dr [Start Stop],17800,2020,Manual,Petrol,"14,995"
Vauxhall,Astra,1.4T 16V 150 SRi Nav 5dr,15000,2019,Manual,Petrol,"14,995"
Kia,Niro,1.6 GDi Hybrid 3 5dr DCT,68000,2017,Automatic,Hybrid,"14,995"
Kia,Sportage,1.7 CRDi ISG 4 5dr,38800,2016,Manual,Diesel,"14,995"
Vauxhall,Corsa,1.2 Turbo GS Line 5dr,5600,2022,Manual,Petrol,"15,995"
Vauxhall,Grandland,X 1.2 Turbo Sport Nav 5dr,20000,2019,Manual,Petrol,"16,995"
Vauxhall,Astra,1.5 Turbo D Business Edition 5dr,41000,2022,Manual,Diesel,"17,995"
Hyundai,i20,1.0T GDi 48V MHD Premium 5dr DCT,16000,2021,Semiauto,Mild Hybrid,"18,695"
Vauxhall,Mokka,100kW Elite Premium 50kWh 5dr Auto,3000,2022,Automatic,Electric,"18,995"
Vauxhall,Insignia,1.5 Turbo D Ultimate Nav 5dr,17000,2021,Manual,Diesel,"18,995"
Vauxhall,Mokka,100kW SRi Premium 50kWh 5dr Auto,9000,2022,Automatic,Electric,"19,495"
Vauxhall,Grandland,1.5 Turbo D SRi 5dr Auto,12500,2022,Automatic,Diesel,"23,995"
Vauxhall,Grandland,1.6 Hybrid Elite 5dr Auto,8900,2022,Automatic,Hybrid,"27,995"
Vauxhall,Vivaro,Life 100kW Elite L 50kWh 5dr Auto,2800,2020,Automatic,Electric,"27,995"
Vauxhall,Corsa,100kW SRi Nav Premium 50kWh 5dr Auto [7.4kWCh],13416,2021,Automatic,Electric,"16,995"
Volkswagen,Tiguan,2.0 TSi 190 4Motion SEL 5dr DSG,35594,2019,Semiauto,Petrol,"24,995"
Vauxhall,Corsa,100kW SE Nav Premium 50kWh 5dr Auto [7.4kWCh],24000,2021,Automatic,Electric,"15,495"
Ford,Kuga,2.5 PHEV ST-Line X Edition 5dr CVT,11615,2022,Automatic,Plug-in Hybrid,"33,995"
Vauxhall,Corsa,100kW SRi Nav Premium 50kWh 5dr Auto [7.4kWCh],7000,2021,Automatic,Electric,"16,995"
Volkswagen,Golf,1.4 TSI SE [Nav] 5dr DSG,17485,2018,Semiauto,Petrol,"15,995"
Vauxhall,Crossland,X 1.2T [130] Elite Nav 5dr [Start Stop],17800,2020,Manual,Petrol,"14,995"
Vauxhall,Astra,1.4T 16V 150 SRi Nav 5dr,15000,2019,Manual,Petrol,"14,995"
Kia,Niro,1.6 GDi Hybrid 3 5dr DCT,68000,2017,Automatic,Hybrid,"14,995"
Kia,Sportage,1.7 CRDi ISG 4 5dr,38800,2016,Manual,Diesel,"14,995"
Vauxhall,Corsa,1.2 Turbo GS Line 5dr,5600,2022,Manual,Petrol,"15,995"
Vauxhall,Grandland,X 1.2 Turbo Sport Nav 5dr,20000,2019,Manual,Petrol,"16,995"
Vauxhall,Astra,1.5 Turbo D Business Edition 5dr,41000,2022,Manual,Diesel,"17,995"
Hyundai,i20,1.0T GDi 48V MHD Premium 5dr DCT,16000,2021,Semiauto,Mild Hybrid,"18,695"
Vauxhall,Mokka,100kW Elite Premium 50kWh 5dr Auto,3000,2022,Automatic,Electric,"18,995"
Vauxhall,Insignia,1.5 Turbo D Ultimate Nav 5dr,17000,2021,Manual,Diesel,"18,995"
Vauxhall,Mokka,100kW SRi Premium 50kWh 5dr Auto,9000,2022,Automatic,Electric,"19,495"
Vauxhall,Grandland,1.5 Turbo D SRi 5dr Auto,12500,2022,Automatic,Diesel,"23,995"
Vauxhall,Grandland,1.6 Hybrid Elite 5dr Auto,8900,2022,Automatic,Hybrid,"27,995"
Vauxhall,Vivaro,Life 100kW Elite L 50kWh 5dr Auto,2800,2020,Automatic,Electric,"27,995"
Vauxhall,Corsa,100kW SRi Nav Premium 50kWh 5dr Auto [7.4kWCh],13416,2021,Automatic,Electric,"16,995"
Volkswagen,Tiguan,2.0 TSi 190 4Motion SEL 5dr DSG,35594,2019,Semiauto,Petrol,"24,995"
Vauxhall,Corsa,100kW SE Nav Premium 50kWh 5dr Auto [7.4kWCh],24000,2021,Automatic,Electric,"15,495"
Ford,Kuga,2.5 PHEV ST-Line X Edition 5dr CVT,11615,2022,Automatic,Plug-in Hybrid,"33,995"
Vauxhall,Corsa,100kW SRi Nav Premium 50kWh 5dr Auto [7.4kWCh],7000,2021,Automatic,Electric,"16,995"
Volkswagen,Golf,1.4 TSI SE [Nav] 5dr DSG,17485,2018,Semiauto,Petrol,"15,995"
Vauxhall,Crossland,X 1.2T [130] Elite Nav 5dr [Start Stop],17800,2020,Manual,Petrol,"14,995"
Vauxhall,Astra,1.4T 16V 150 SRi Nav 5dr,15000,2019,Manual,Petrol,"14,995"
Kia,Niro,1.6 GDi Hybrid 3 5dr DCT,68000,2017,Automatic,Hybrid,"14,995"
Kia,Sportage,1.7 CRDi ISG 4 5dr,38800,2016,Manual,Diesel,"14,995"
Vauxhall,Corsa,1.2 Turbo GS Line 5dr,5600,2022,Manual,Petrol,"15,995"
Vauxhall,Grandland,X 1.2 Turbo Sport Nav 5dr,20000,2019,Manual,Petrol,"16,995"
Vauxhall,Astra,1.5 Turbo D Business Edition 5dr,41000,2022,Manual,Diesel,"17,995"
Hyundai,i20,1.0T GDi 48V MHD Premium 5dr DCT,16000,2021,Semiauto,Mild Hybrid,"18,695"
