make,model,engine_size,trim,num_doors,mileage,reg_year,transmission_type,fuel_type,price,is_electric
Ford,Focus,1.0, EcoBoost Hybrid mHEV  ST-Line Edition ,5,16239,2020,Manual,Mild Hybrid,16989,0
Ford,Focus,1.5, EcoBlue  Zetec ,5,25790,2019,Manual,Diesel,12989,0
Kia,Sportage,1.6,T GDi ISG GT-Line ,5,10456,2022,Manual,Petrol,25995,0
Ford,Focus,1.0, EcoBoost Hybrid mHEV  Titanium X Ed ,5,9043,2020,Manual,Mild Hybrid,16400,0
Ford,Focus,1.0, EcoBoost  Active X ,5,28157,2021,Manual,Petrol,15489,0
Ford,Focus,1.0, EcoBoost Hybrid mHEV  Titanium X Ed ,5,12226,2021,Manual,Mild Hybrid,16600,0
Ford,Focus,1.0, EcoBoost  Active X ,5,34008,2020,Manual,Petrol,14789,0
Ford,Focus,1.0, EcoBoost Hybrid mHEV  ST-Line X Edition ,5,14440,2021,Manual,Mild Hybrid,17489,0
Ford,Focus,1.0, EcoBoost  Active X ,5,18101,2020,Manual,Petrol,17306,0
Kia,Sportage,1.6,T GDi GT-Line S  DT Auto [AD],5,18690,2021,Auto,Petrol,25495,0
Kia,Sportage,1.6,T GDi ISG 3  [AD],5,27511,2020,Manual,Petrol,19495,0
Ford,Focus,1.0, EcoBoost ST-Line Style ,5,11384,2022,Manual,Petrol,18189,0
Kia,Sportage,1.6,T GDi GT-Line S  DT Auto [AD],5,14826,2020,Auto,Petrol,24895,0
Ford,Focus,1.0, EcoBoost Hybrid mHEV  Titanium X Ed ,5,14500,2021,Manual,Mild Hybrid,18289,0
Kia,Sportage,1.6, RDi 8V ISG GT-Line S  DT Auto [AD],5,15144,2021,Auto,Hybrid,25495,0
Ford,Focus,1.0, EcoBoost  ST-Line ,5,21208,2019,Manual,Petrol,14595,0
Ford,Focus,1.0, EcoBoost  ST-Line ,5,24488,2020,Manual,Petrol,13889,0
Ford,Focus,1.0, EcoBoost Hybrid mHEV  Active Edition ,5,21981,2020,Manual,Mild Hybrid,14989,0
Ford,Focus,1.0, EcoBoost  ST-Line X ,5,21268,2020,Manual,Petrol,15389,0
Ford,Focus,1.0, EcoBoost Hybrid mHEV  Titanium X Ed ,5,14138,2021,Manual,Mild Hybrid,16995,0
Ford,Focus,1.0, EcoBoost Hybrid mHEV  ST-Line Edition ,5,16239,2020,Manual,Mild Hybrid,16989,0
Ford,Focus,1.5, EcoBlue  Zetec ,5,25790,2019,Manual,Diesel,12989,0
Kia,Sportage,1.6,T GDi ISG GT-Line ,5,10456,2022,Manual,Petrol,25995,0
Ford,Focus,1.0, EcoBoost Hybrid mHEV  Titanium X Ed ,5,9043,2020,Manual,Mild Hybrid,16400,0
Ford,Focus,1.0, EcoBoost  Active X ,5,28157,2021,Manual,Petrol,15489,0
Ford,Focus,1.0, EcoBoost Hybrid mHEV  Titanium X Ed ,5,12226,2021,Manual,Mild Hybrid,16600,0
Ford,Focus,1.0, EcoBoost  Active X ,5,34008,2020,Manual,Petrol,14789,0
Ford,Focus,1.0, EcoBoost Hybrid mHEV  ST-Line X Edition ,5,14440,2021,Manual,Mild Hybrid,17489,0
Ford,Focus,1.0, EcoBoost  Active X ,5,18101,2020,Manual,Petrol,17306,0
Kia,Sportage,1.6,T GDi GT-Line S  DT Auto [AD],5,18690,2021,Auto,Petrol,25495,0
Kia,Sportage,1.6,T GDi ISG 3  [AD],5,27511,2020,Manual,Petrol,19495,0
Ford,Focus,1.0, EcoBoost ST-Line Style ,5,11384,2022,Manual,Petrol,18189,0
Kia,Sportage,1.6,T GDi GT-Line S  DT Auto [AD],5,14826,2020,Auto,Petrol,24895,0
Ford,Focus,1.0, EcoBoost Hybrid mHEV  Titanium X Ed ,5,14500,2021,Manual,Mild Hybrid,18289,0
Kia,Sportage,1.6, RDi 8V ISG GT-Line S  DT Auto [AD],5,15144,2021,Auto,Hybrid,25495,0
Ford,Focus,1.0, EcoBoost  ST-Line ,5,21208,2019,Manual,Petrol,14595,0
Ford,Focus,1.0, EcoBoost  ST-Line ,5,24488,2020,Manual,Petrol,13889,0
Ford,Focus,1.0, EcoBoost Hybrid mHEV  Active Edition ,5,21981,2020,Manual,Mild Hybrid,14989,0
Ford,Focus,1.0, EcoBoost  ST-Line X ,5,21268,2020,Manual,Petrol,15389,0
Ford,Focus,1.0, EcoBoost Hybrid mHEV  Titanium X Ed ,5,14138,2021,Manual,Mild Hybrid,16995,0
Ford,Focus,1.0, EcoBoost Hybrid mHEV  ST-Line Edition ,5,16239,2020,Manual,Mild Hybrid,16989,0
Ford,Focus,1.5, EcoBlue  Zetec ,5,25790,2019,Manual,Diesel,12989,0
Kia,Sportage,1.6,T GDi ISG GT-Line ,5,10456,2022,Manual,Petrol,25995,0
Ford,Focus,1.0, EcoBoost Hybrid mHEV  Titanium X Ed ,5,9043,2020,Manual,Mild Hybrid,16400,0
Ford,Focus,1.0, EcoBoost  Active X ,5,28157,2021,Manual,Petrol,15489,0
Ford,Focus,1.0, EcoBoost Hybrid mHEV  Titanium X Ed ,5,12226,2021,Manual,Mild Hybrid,16600,0
Ford,Focus,1.0, EcoBoost  Active X ,5,34008,2020,Manual,Petrol,14789,0
Ford,Focus,1.0, EcoBoost Hybrid mHEV  ST-Line X Edition ,5,14440,2021,Manual,Mild Hybrid,17489,0
Ford,Focus,1.0, EcoBoost  Active X ,5,18101,2020,Manual,Petrol,17306,0
Kia,Sportage,1.6,T GDi GT-Line S  DT Auto [AD],5,18690,2021,Auto,Petrol,25495,0
Kia,Sportage,1.6,T GDi ISG 3  [AD],5,27511,2020,Manual,Petrol,19495,0
Ford,Focus,1.0, EcoBoost ST-Line Style ,5,11384,2022,Manual,Petrol,18189,0
Kia,Sportage,1.6,T GDi GT-Line S  DT Auto [AD],5,14826,2020,Auto,Petrol,24895,0
Ford,Focus,1.0, EcoBoost Hybrid mHEV  Titanium X Ed ,5,14500,2021,Manual,Mild Hybrid,18289,0
Kia,Sportage,1.6, RDi 8V ISG GT-Line S  DT Auto [AD],5,15144,2021,Auto,Hybrid,25495,0
Ford,Focus,1.0, EcoBoost  ST-Line ,5,21208,2019,Manual,Petrol,14595,0
Ford,Focus,1.0, EcoBoost  ST-Line ,5,24488,2020,Manual,Petrol,13889,0
Ford,Focus,1.0, EcoBoost Hybrid mHEV  Active Edition ,5,21981,2020,Manual,Mild Hybrid,14989,0
Ford,Focus,1.0, EcoBoost  ST-Line X ,5,21268,2020,Manual,Petrol,15389,0
Ford,Focus,1.0, EcoBoost Hybrid mHEV  Titanium X Ed ,5,14138,2021,Manual,Mild Hybrid,16995,0
Ford,Focus,1.0, EcoBoost Hybrid mHEV  ST-Line Edition ,5,16239,2020,Manual,Mild Hybrid,16989,0
Ford,Focus,1.5, EcoBlue  Zetec ,5,25790,2019,Manual,Diesel,12989,0
Kia,Sportage,1.6,T GDi ISG GT-Line ,5,10456,2022,Manual,Petrol,25995,0
Ford,Focus,1.0, EcoBoost Hybrid mHEV  Titanium X Ed ,5,9043,2020,Manual,Mild Hybrid,16400,0
Ford,Focus,1.0, EcoBoost  Active X ,5,28157,2021,Manual,Petrol,15489,0
Ford,Focus,1.0, EcoBoost Hybrid mHEV  Titanium X Ed ,5,12226,2021,Manual,Mild Hybrid,16600,0
Ford,Focus,1.0, EcoBoost  Active X ,5,34008,2020,Manual,Petrol,14789,0
Ford,Focus,1.0, EcoBoost Hybrid mHEV  ST-Line X Edition ,5,14440,2021,Manual,Mild Hybrid,17489,0
Ford,Focus,1.0, EcoBoost  Active X ,5,18101,2020,Manual,Petrol,17306,0
Kia,Sportage,1.6,T GDi GT-Line S  DT Auto [AD],5,18690,2021,Auto,Petrol,25495,0
Kia,Sportage,1.6,T GDi ISG 3  [AD],5,27511,2020,Manual,Petrol,19495,0
Ford,Focus,1.0, EcoBoost ST-Line Style ,5,11384,2022,Manual,Petrol,18189,0
Kia,Sportage,1.6,T GDi GT-Line S  DT Auto [AD],5,14826,2020,Auto,Petrol,24895,0
Ford,Focus,1.0, EcoBoost Hybrid mHEV  Titanium X Ed ,5,14500,2021,Manual,Mild Hybrid,18289,0
Kia,Sportage,1.6, RDi 8V ISG GT-Line S  DT Auto [AD],5,15144,2021,Auto,Hybrid,25495,0
Ford,Focus,1.0, EcoBoost  ST-Line ,5,21208,2019,Manual,Petrol,14595,0
Ford,Focus,1.0, EcoBoost  ST-Line ,5,24488,2020,Manual,Petrol,13889,0
Ford,Focus,1.0, EcoBoost Hybrid mHEV  Active Edition ,5,21981,2020,Manual,Mild Hybrid,14989,0
Ford,Focus,1.0, EcoBoost  ST-Line X ,5,21268,2020,Manual,Petrol,15389,0
Ford,Focus,1.0, EcoBoost Hybrid mHEV  Titanium X Ed ,5,14138,2021,Manual,Mild Hybrid,16995,0
Ford,Focus,1.0, EcoBoost Hybrid mHEV  ST-Line Edition ,5,16239,2020,Manual,Mild Hybrid,16989,0
Ford,Focus,1.5, EcoBlue  Zetec ,5,25790,2019,Manual,Diesel,12989,0
Kia,Sportage,1.6,T GDi ISG GT-Line ,5,10456,2022,Manual,Petrol,25995,0
Ford,Focus,1.0, EcoBoost Hybrid mHEV  Titanium X Ed ,5,9043,2020,Manual,Mild Hybrid,16400,0
Ford,Focus,1.0, EcoBoost  Active X ,5,28157,2021,Manual,Petrol,15489,0
Ford,Focus,1.0, EcoBoost Hybrid mHEV  Titanium X Ed ,5,12226,2021,Manual,Mild Hybrid,16600,0
Ford,Focus,1.0, EcoBoost  Active X ,5,34008,2020,Manual,Petrol,14789,0
Ford,Focus,1.0, EcoBoost Hybrid mHEV  ST-Line X Edition ,5,14440,2021,Manual,Mild Hybrid,17489,0
Ford,Focus,1.0, EcoBoost  Active X ,5,18101,2020,Manual,Petrol,17306,0
Kia,Sportage,1.6,T GDi GT-Line S  DT Auto [AD],5,18690,2021,Auto,Petrol,25495,0
Kia,Sportage,1.6,T GDi ISG 3  [AD],5,27511,2020,Manual,Petrol,19495,0
Ford,Focus,1.0, EcoBoost ST-Line Style ,5,11384,2022,Manual,Petrol,18189,0
Kia,Sportage,1.6,T GDi GT-Line S  DT Auto [AD],5,14826,2020,Auto,Petrol,24895,0
Ford,Focus,1.0, EcoBoost Hybrid mHEV  Titanium X Ed ,5,14500,2021,Manual,Mild Hybrid,18289,0
Kia,Sportage,1.6, RDi 8V ISG GT-Line S  DT Auto [AD],5,15144,2021,Auto,Hybrid,25495,0
Ford,Focus,1.0, EcoBoost  ST-Line ,5,21208,2019,Manual,Petrol,14595,0
Ford,Focus,1.0, EcoBoost  ST-Line ,5,24488,2020,Manual,Petrol,13889,0
Ford,Focus,1.0, EcoBoost Hybrid mHEV  Active Edition ,5,21981,2020,Manual,Mild Hybrid,14989,0
Ford,Focus,1.0, EcoBoost  ST-Line X ,5,21268,2020,Manual,Petrol,15389,0
Ford,Focus,1.0, EcoBoost Hybrid mHEV  Titanium X Ed ,5,14138,2021,Manual,Mild Hybrid,16995,0
Ford,Focus,1.0, EcoBoost Hybrid mHEV  ST-Line Edition ,5,16239,2020,Manual,Mild Hybrid,16989,0
Ford,Focus,1.5, EcoBlue  Zetec ,5,25790,2019,Manual,Diesel,12989,0
Kia,Sportage,1.6,T GDi ISG GT-Line ,5,10456,2022,Manual,Petrol,25995,0
Ford,Focus,1.0, EcoBoost Hybrid mHEV  Titanium X Ed ,5,9043,2020,Manual,Mild Hybrid,16400,0
Ford,Focus,1.0, EcoBoost  Active X ,5,28157,2021,Manual,Petrol,15489,0
Ford,Focus,1.0, EcoBoost Hybrid mHEV  Titanium X Ed ,5,12226,2021,Manual,Mild Hybrid,16600,0
Ford,Focus,1.0, EcoBoost  Active X ,5,34008,2020,Manual,Petrol,14789,0
Ford,Focus,1.0, EcoBoost Hybrid mHEV  ST-Line X Edition ,5,14440,2021,Manual,Mild Hybrid,17489,0
Ford,Focus,1.0, EcoBoost  Active X ,5,18101,2020,Manual,Petrol,17306,0
Kia,Sportage,1.6,T GDi GT-Line S  DT Auto [AD],5,18690,2021,Auto,Petrol,25495,0
Kia,Sportage,1.6,T GDi ISG 3  [AD],5,27511,2020,Manual,Petrol,19495,0
Ford,Focus,1.0, EcoBoost ST-Line Style ,5,11384,2022,Manual,Petrol,18189,0
Kia,Sportage,1.6,T GDi GT-Line S  DT Auto [AD],5,14826,2020,Auto,Petrol,24895,0
Ford,Focus,1.0, EcoBoost Hybrid mHEV  Titanium X Ed ,5,14500,2021,Manual,Mild Hybrid,18289,0
Kia,Sportage,1.6, RDi 8V ISG GT-Line S  DT Auto [AD],5,15144,2021,Auto,Hybrid,25495,0
Ford,Focus,1.0, EcoBoost  ST-Line ,5,21208,2019,Manual,Petrol,14595,0
Ford,Focus,1.0, EcoBoost  ST-Line ,5,24488,2020,Manual,Petrol,13889,0
Ford,Focus,1.0, EcoBoost Hybrid mHEV  Active Edition ,5,21981,2020,Manual,Mild Hybrid,14989,0
Ford,Focus,1.0, EcoBoost  ST-Line X ,5,21268,2020,Manual,Petrol,15389,0
Ford,Focus,1.0, EcoBoost Hybrid mHEV  Titanium X Ed ,5,14138,2021,Manual,Mild Hybrid,16995,0
Ford,Focus,1.0, EcoBoost Hybrid mHEV  ST-Line Edition ,5,16239,2020,Manual,Mild Hybrid,16989,0
Ford,Focus,1.5, EcoBlue  Zetec ,5,25790,2019,Manual,Diesel,12989,0
Kia,Sportage,1.6,T GDi ISG GT-Line ,5,10456,2022,Manual,Petrol,25995,0
Ford,Focus,1.0, EcoBoost Hybrid mHEV  Titanium X Ed ,5,9043,2020,Manual,Mild Hybrid,16400,0
Ford,Focus,1.0, EcoBoost  Active X ,5,28157,2021,Manual,Petrol,15489,0
Ford,Focus,1.0, EcoBoost Hybrid mHEV  Titanium X Ed ,5,12226,2021,Manual,Mild Hybrid,16600,0
Ford,Focus,1.0, EcoBoost  Active X ,5,34008,2020,Manual,Petrol,14789,0
Ford,Focus,1.0, EcoBoost Hybrid mHEV  ST-Line X Edition ,5,14440,2021,Manual,Mild Hybrid,17489,0
Ford,Focus,1.0, EcoBoost  Active X ,5,18101,2020,Manual,Petrol,17306,0
Kia,Sportage,1.6,T GDi GT-Line S  DT Auto [AD],5,18690,2021,Auto,Petrol,25495,0
Kia,Sportage,1.6,T GDi ISG 3  [AD],5,27511,2020,Manual,Petrol,19495,0
Ford,Focus,1.0, EcoBoost ST-Line Style ,5,11384,2022,Manual,Petrol,18189,0
Kia,Sportage,1.6,T GDi GT-Line S  DT Auto [AD],5,14826,2020,Auto,Petrol,24895,0
Ford,Focus,1.0, EcoBoost Hybrid mHEV  Titanium X Ed ,5,14500,2021,Manual,Mild Hybrid,18289,0
Kia,Sportage,1.6, RDi 8V ISG GT-Line S  DT Auto [AD],5,15144,2021,Auto,Hybrid,25495,0
Ford,Focus,1.0, EcoBoost  ST-Line ,5,21208,2019,Manual,Petrol,14595,0
Ford,Focus,1.0, EcoBoost  ST-Line ,5,24488,2020,Manual,Petrol,13889,0
Ford,Focus,1.0, EcoBoost Hybrid mHEV  Active Edition ,5,21981,2020,Manual,Mild Hybrid,14989,0
Ford,Focus,1.0, EcoBoost  ST-Line X ,5,21268,2020,Manual,Petrol,15389,0
Ford,Focus,1.0, EcoBoost Hybrid mHEV  Titanium X Ed ,5,14138,2021,Manual,Mild Hybrid,16995,0
Ford,Focus,1.0, EcoBoost Hybrid mHEV  ST-Line Edition ,5,16239,2020,Manual,Mild Hybrid,16989,0
Ford,Focus,1.5, EcoBlue  Zetec ,5,25790,2019,Manual,Diesel,12989,0
Kia,Sportage,1.6,T GDi ISG GT-Line ,5,10456,2022,Manual,Petrol,25995,0
Ford,Focus,1.0, EcoBoost Hybrid mHEV  Titanium X Ed ,5,9043,2020,Manual,Mild Hybrid,16400,0
Ford,Focus,1.0, EcoBoost  Active X ,5,28157,2021,Manual,Petrol,15489,0
Ford,Focus,1.0, EcoBoost Hybrid mHEV  Titanium X Ed ,5,12226,2021,Manual,Mild Hybrid,16600,0
Ford,Focus,1.0, EcoBoost  Active X ,5,34008,2020,Manual,Petrol,14789,0
Ford,Focus,1.0, EcoBoost Hybrid mHEV  ST-Line X Edition ,5,14440,2021,Manual,Mild Hybrid,17489,0
Ford,Focus,1.0, EcoBoost  Active X ,5,18101,2020,Manual,Petrol,17306,0
Kia,Sportage,1.6,T GDi GT-Line S  DT Auto [AD],5,18690,2021,Auto,Petrol,25495,0
Kia,Sportage,1.6,T GDi ISG 3  [AD],5,27511,2020,Manual,Petrol,19495,0
Ford,Focus,1.0, EcoBoost ST-Line Style ,5,11384,2022,Manual,Petrol,18189,0
Kia,Sportage,1.6,T GDi GT-Line S  DT Auto [AD],5,14826,2020,Auto,Petrol,24895,0
Ford,Focus,1.0, EcoBoost Hybrid mHEV  Titanium X Ed ,5,14500,2021,Manual,Mild Hybrid,18289,0
Kia,Sportage,1.6, RDi 8V ISG GT-Line S  DT Auto [AD],5,15144,2021,Auto,Hybrid,25495,0
Ford,Focus,1.0, EcoBoost  ST-Line ,5,21208,2019,Manual,Petrol,14595,0
Ford,Focus,1.0, EcoBoost  ST-Line ,5,24488,2020,Manual,Petrol,13889,0
Ford,Focus,1.0, EcoBoost Hybrid mHEV  Active Edition ,5,21981,2020,Manual,Mild Hybrid,14989,0
Ford,Focus,1.0, EcoBoost  ST-Line X ,5,21268,2020,Manual,Petrol,15389,0
Ford,Focus,1.0, EcoBoost Hybrid mHEV  Titanium X Ed ,5,14138,2021,Manual,Mild Hybrid,16995,0
Ford,Focus,1.0, EcoBoost Hybrid mHEV  ST-Line Edition ,5,16239,2020,Manual,Mild Hybrid,16989,0
Ford,Focus,1.5, EcoBlue  Zetec ,5,25790,2019,Manual,Diesel,12989,0
Kia,Sportage,1.6,T GDi ISG GT-Line ,5,10456,2022,Manual,Petrol,25995,0
Ford,Focus,1.0, EcoBoost Hybrid mHEV  Titanium X Ed ,5,9043,2020,Manual,Mild Hybrid,16400,0
Ford,Focus,1.0, EcoBoost  Active X ,5,28157,2021,Manual,Petrol,15489,0
Ford,Focus,1.0, EcoBoost Hybrid mHEV  Titanium X Ed ,5,12226,2021,Manual,Mild Hybrid,16600,0
Ford,Focus,1.0, EcoBoost  Active X ,5,34008,2020,Manual,Petrol,14789,0
Ford,Focus,1.0, EcoBoost Hybrid mHEV  ST-Line X Edition ,5,14440,2021,Manual,Mild Hybrid,17489,0
Ford,Focus,1.0, EcoBoost  Active X ,5,18101,2020,Manual,Petrol,17306,0
Kia,Sportage,1.6,T GDi GT-Line S  DT Auto [AD],5,18690,2021,Auto,Petrol,25495,0
Kia,Sportage,1.6,T GDi ISG 3  [AD],5,27511,2020,Manual,Petrol,19495,0
Ford,Focus,1.0, EcoBoost ST-Line Style ,5,11384,2022,Manual,Petrol,18189,0
Kia,Sportage,1.6,T GDi GT-Line S  DT Auto [AD],5,14826,2020,Auto,Petrol,24895,0
Ford,Focus,1.0, EcoBoost Hybrid mHEV  Titanium X Ed ,5,14500,2021,Manual,Mild Hybrid,18289,0
Kia,Sportage,1.6, RDi 8V ISG GT-Line S  DT Auto [AD],5,15144,2021,Auto,Hybrid,25495,0
Ford,Focus,1.0, EcoBoost  ST-Line ,5,21208,2019,Manual,Petrol,14595,0
Ford,Focus,1.0, EcoBoost  ST-Line ,5,24488,2020,Manual,Petrol,13889,0
Ford,Focus,1.0, EcoBoost Hybrid mHEV  Active Edition ,5,21981,2020,Manual,Mild Hybrid,14989,0
Ford,Focus,1.0, EcoBoost  ST-Line X ,5,21268,2020,Manual,Petrol,15389,0
Ford,Focus,1.0, EcoBoost Hybrid mHEV  Titanium X Ed ,5,14138,2021,Manual,Mild Hybrid,16995,0
Ford,Focus,1.0, EcoBoost Hybrid mHEV  ST-Line Edition ,5,16239,2020,Manual,Mild Hybrid,16989,0
Ford,Focus,1.5, EcoBlue  Zetec ,5,25790,2019,Manual,Diesel,12989,0
Kia,Sportage,1.6,T GDi ISG GT-Line ,5,10456,2022,Manual,Petrol,25995,0
Ford,Focus,1.0, EcoBoost Hybrid mHEV  Titanium X Ed ,5,9043,2020,Manual,Mild Hybrid,16400,0
Ford,Focus,1.0, EcoBoost  Active X ,5,28157,2021,Manual,Petrol,15489,0
Ford,Focus,1.0, EcoBoost Hybrid mHEV  Titanium X Ed ,5,12226,2021,Manual,Mild Hybrid,16600,0
Ford,Focus,1.0, EcoBoost  Active X ,5,34008,2020,Manual,Petrol,14789,0
Ford,Focus,1.0, EcoBoost Hybrid mHEV  ST-Line X Edition ,5,14440,2021,Manual,Mild Hybrid,17489,0
Ford,Focus,1.0, EcoBoost  Active X ,5,18101,2020,Manual,Petrol,17306,0
Kia,Sportage,1.6,T GDi GT-Line S  DT Auto [AD],5,18690,2021,Auto,Petrol,25495,0
Kia,Sportage,1.6,T GDi ISG 3  [AD],5,27511,2020,Manual,Petrol,19495,0
Ford,Focus,1.0, EcoBoost ST-Line Style ,5,11384,2022,Manual,Petrol,18189,0
Kia,Sportage,1.6,T GDi GT-Line S  DT Auto [AD],5,14826,2020,Auto,Petrol,24895,0
Ford,Focus,1.0, EcoBoost Hybrid mHEV  Titanium X Ed ,5,14500,2021,Manual,Mild Hybrid,18289,0
Kia,Sportage,1.6, RDi 8V ISG GT-Line S  DT Auto [AD],5,15144,2021,Auto,Hybrid,25495,0
Ford,Focus,1.0, EcoBoost  ST-Line ,5,21208,2019,Manual,Petrol,14595,0
Ford,Focus,1.0, EcoBoost  ST-Line ,5,24488,2020,Manual,Petrol,13889,0
